In Race Comment_,Predicted Sentiment_,Score_
"made all, came clear final 2f, stayed on strongly, unchallenged",Positive,1.000
"made all, ridden clear from over 1f out, ran on well, readily",Positive,0.999
"held up towards rear, not fluent 4th, 4th halfway, 3rd 3 out, pushed along on inner to dispute 2 out, soon led, ridden after last, stayed on well",Positive,0.998
"held up in touch in rear, 5th 4 out, headway on outer to dispute approaching 2 out, pushed along and led before last, ridden after last, stayed on well",Positive,0.997
"raced in third, closed on leaders 2f out, ran on well and led inside final 110 yards, won going away",Positive,0.996
"raced centre, made all, increased tempo 3f out, clear when edged left approaching final furlong, ran on strongly, unchallenged",Positive,0.995
"towards rear, 7th halfway, 6th 3 1/2f out, took closer order approaching straight, 3rd 2f out, led narrowly over 1f out, ran on strongly final 100 yards, comfortably",Positive,0.995
"disputed, a little keen, led 2nd and made rest, 6 lengths lead halfway and further clear 4 out, well clear when not fluent last, kept on well, very easily",Positive,0.991
"held up in touch, jumped right 1st, 5th halfway, short of room on landing and checked 7th, pushed along in 4th when not fluent 2 out, went 2nd and challenged after last, stayed on well, just failed",Positive,0.991
"made all, shaken up 2f out, ridden over 1f out, kept on well",Positive,0.987
"shied left at start, tracked leader in 2nd, led or disputed from 2nd, slight mistake 3rd, pushed along and led before 2 out, ridden and drew clear run-in, stayed on well",Positive,0.987
"tracked leaders, bumped 1st and not fluent 2nd, 4th halfway, 2nd after 3 out, pushed along and led 2 out, 1.5 lengths lead when steadied last, ridden and strongly pressed run-in, stayed on well, all out",Positive,0.974
"rear of mid-division, 7th halfway, effort on outer 1 1/2f out, 6th final 100 yards, ran on closing stages to 3rd close home, nearest at finish",Positive,0.973
"mid-division, 6th halfway, 5th 7f out, stayed on in 4th inside final furlong, ran on in 2nd closing stages to lead final stride",Positive,0.963
"rear of mid-division, 8th halfway, took closer order over 4f out, headway on outer under 3f out, led over 2f out, asserted 1 1/2f out, clear inside final furlong, kept on well, easily",Positive,0.955
"held up towards rear, 6th when not fluent 3 out, pushed along in 4th before 2 out, ridden in 3rd before last, led run-in, kept on well, cosily",Positive,0.944
"chased leaders, switched left and went 2nd 3f out, led over 1f out, clear inside final furlong, stayed on well",Positive,0.940
"dwelt slightly, soon prominent, 4th halfway, took closer order under 2f out, stayed on to lead 1f out, driven out closing stages, reduced advantage close home",Positive,0.933
"held up in last pair, headway far side of group 2f out, led inside final furlong, ran on well",Positive,0.924
"tracked leaders, went 3rd going well halfway, soon 2nd, led inside final furlong, ran on well",Positive,0.908
"close up, pressed leader over 2f out, pushed along to lead rounding home turn, ridden over 1f out, kept on well",Positive,0.891
"held up towards rear, dropped to last just after halfway, still plenty to do when rallied to make headway home turn, ran on well final furlong, went fourth inside final 110 yards, kept on",Positive,0.889
"held up rear of mid-division, headway over 2f out, switched left over 1f out, soon led, ran on well inside final furlong",Positive,0.864
"missed break, raced in rear, 11th over 3f out, not much room between horses under 2f out, progress 1f out, kept on closing stages, never on terms",Positive,0.859
"held up in rear, came near side to make headway form over 2f out, ridden over 1f out, went third final 110 yards, ran on, just denied post",Positive,0.839
"midfield, chased leaders 2f out, briefly went third over 1f out, ridden final 110 yards, ran on",Positive,0.839
"soon raced in second, pushed along when pressed leader over 1f out, every chance before final 110 yards, ran on but always held by winner towards finish",Positive,0.839
"in touch in mid-division, switched right over 2f out, headway and hung left from over 1f out, led inside final furlong, ran on well",Positive,0.809
"held up in rear, outpaced 3f out, ridden out wide over 2f out, ran on same pace from over 1f out",Positive,0.803
"in touch, improved to 3rd halfway, closed over 2f out, improved to lead narrowly 1 1/2f out, kept on best under pressure closing stages",Positive,0.763
"dwelt, soon raced towards rear, headway in 8th halfway, effort and progress over 1f out, stayed on closing stages to 4th final stride, nearest at finish",Positive,0.763
"rear, 11th halfway, headway approaching straight, under pressure in 5th 1f out, kept on without threatening closing stages",Positive,0.763
"towards rear, some headway over 2f out, ridden over 1f out, outpaced by leading trio final 110 yards, ran on",Positive,0.731
"in touch with leaders, shaken up to close on leaders over 1f out, travelled well and led inside final 110 yards, won going away, promising",Positive,0.707
"prominent, raced wide early, soon raced in second, led over 1f out, faced sustained challenge final 110 yards, all out towards finish, just held on",Positive,0.699
"rear, 6th halfway, 5th under 3f out, headway in 3rd under 2f out, switched left over 1f out, closed final 100 yards, led closing stages, kept on best",Positive,0.699
"took keen hold, prominent on inner, shaken up over 2f out, switched right when ridden over 1f out, kept on and went second post",Positive,0.679
"rear, effort in 9th 3f out, progress under 2f out, 7th 1f out, kept on same pace to 6th close home",Positive,0.626
"held up in mid-division, headway over 1f out, ran on inside final furlong, always held",Positive,0.547
"prominent, 4th halfway, switched left over 2f out, improved to 3rd under 2f out, stayed on final furlong, never nearer",Positive,0.528
"close up, 4th 3 1/2f out, improved to 3rd 3f out, no impression on leader over 1f out, kept on in 2nd closing stages, not trouble winner",Positive,0.524
"in touch, improved to 3rd 3 1/2f out, 4th 3f out, no impression over 1f out, kept on closing stages to 3rd on line",Positive,0.524
"taken down early wearing hood, close up, pressed leader over 4f out, soon led, ridden along over 2f out, kept on but headed towards finish",Negative,0.485
"tracked leaders out wide, 3rd going well 3f out, went 2nd over 1f out, led final 110 yards, readily",Negative,0.479
"in touch towards rear, shaken up over 3f out, ridden along over 2f out, made steady headway from over 1f out, went third towards finish",Negative,0.469
"held up towards rear of mid-division, switched right and headway over 1f out, ran on inside final furlong, led close home",Negative,0.466
"steadied start, always towards rear",Negative,0.450
always towards rear,Negative,0.450
"slowly away, always behind, tailed off",Negative,0.450
"wore hood to post, dwelt start, always towards rear",Negative,0.450
"slowly into stride, held up in rear, always behind",Negative,0.450
"slowly into stride, always towards rear",Negative,0.450
"off the pace towards rear, pushed along before halfway, never on terms",Negative,0.446
"tracked leader, 2nd halfway, on terms over 4f out, led narrowly approaching straight, headed over 1f out, no chance with winner final 100 yards, kept on same pace",Negative,0.442
"prominent, soon tracked leader, closed halfway, led over 2f out, increased lead inside final furlong, kept on well",Negative,0.414
"prominent on outside, led after 1f, headed over 3f out, weakened over 1f out",Negative,0.401
"badly hampered start, well in rear, never able to recover",Negative,0.399
"held up in rear, headway near side of group over 1f out, ran on under pressure inside final furlong, not pace to challenge",Negative,0.386
